Sat Dec 21 23:44:44 2019
80149141,9,0,0,3,0,0,5,0
80147108,0,0,0,0,0,0,0,0
80148727,6,0,1,4,0,0,4,0
80146655,1,0,0,0,0,0,0,0
80139843,2,0,0,0,0,0,0,0
80140993,0,0,0,0,0,0,0,0
80140120,37,0,0,0,0,0,0,0
80086781,136,47,13,35,19,4,64,0
80135682,3,0,0,0,0,0,0,0
80132759,8,0,0,1,0,0,2,0
80132497,5,0,0,1,0,0,1,0
80131813,113,1,1,27,0,1,40,0
80125653,115,0,13,19,2,5,38,0
80126257,29,0,3,6,2,0,7,0
80124460,45,0,1,4,2,0,3,0
80124410,11,0,0,0,0,0,1,0
80121809,84,1,3,24,3,0,33,0
80120228,11,0,2,0,2,0,2,0
80117927,61,2,10,13,11,1,40,0
80115910,1,0,0,0,0,0,0,0
80118828,6,0,0,2,0,0,1,0
80117832,12,0,1,0,6,2,4,0
80114762,18,2,0,0,0,2,1,0
80115078,2,0,0,0,0,0,0,0
80113931,55,0,4,8,13,2,10,0
80114514,14,0,2,2,4,1,5,0
80111487,85,18,19,12,18,3,20,0
80114339,4,0,0,1,2,1,5,0
80113146,18,32,0,1,0,0,0,0
80112692,1,0,0,0,0,0,0,0
80113054,3,0,0,0,0,0,0,0
80110563,18,0,0,11,0,0,3,0
80108593,28,0,0,1,0,1,1,0
80108592,46,0,7,4,6,2,6,0
80107592,491,52,23,31,8,2,26,0
80103293,23,0,1,3,0,2,3,0
80107169,224,0,8,70,4,4,56,0
80107770,10,0,0,2,0,0,0,0
80101893,80,0,12,32,14,6,22,0
80103842,7,0,1,1,0,0,0,0
80046886,130,2,9,7,2,3,16,0
80034593,15,0,0,4,3,0,2,0
79616720,29,1,4,11,1,1,17,0
80103629,5,0,2,3,4,0,2,0
79999995,36,0,22,9,14,1,16,0
80102084,1,0,0,0,0,0,0,0
80101262,12,0,1,1,0,1,3,0
80100832,8,0,0,5,0,0,0,0
80101519,49,0,0,6,0,0,1,0
80098128,83,0,0,18,1,1,25,0
80098140,162,1,4,41,0,4,54,0
80096832,2,0,0,0,0,0,0,0
79964311,28299,904,914,6771,9111,1932,9194,0
80096905,83,0,10,41,22,1,37,0
80093871,14,0,0,2,0,0,1,0
80092931,64,0,3,8,3,3,7,0
80093426,267,1,14,78,3,6,67,0
79880801,763,6,43,206,94,14,223,0
80092442,18,0,0,7,0,0,2,0
80091774,1,0,0,0,0,0,0,0
80092385,887,18,24,123,24,20,132,0
80089397,18,0,1,2,1,1,5,0
80089514,100,0,1,21,0,5,43,0
80059074,129,2,19,22,22,5,32,0
80088733,8,0,0,0,1,0,1,0
80089571,32,0,1,16,1,1,9,0
79989307,2120,47,81,424,224,20,487,0
79969107,73,2,7,27,15,5,25,0
79881400,37,0,3,10,7,0,12,0
80086921,26,0,3,0,2,1,2,0
80085912,7,0,0,0,0,0,1,0
80084930,5,0,0,0,0,0,0,0
80083799,2649,34,42,23,37,6,125,0
80048550,260,0,20,43,17,2,67,0
